Drug 1,Drug 2,Interaction Description
Ponatinib,Acetyldigitoxin,Ponatinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Bendamustine,Acetyldigitoxin,Bendamustine may decrease the cardiotoxic activities of Acetyldigitoxin.
Axitinib,Acetyldigitoxin,Axitinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Flutamide,Acetyldigitoxin,Flutamide may decrease the cardiotoxic activities of Acetyldigitoxin.
Nilutamide,Acetyldigitoxin,Nilutamide may decrease the cardiotoxic activities of Acetyldigitoxin.
Vismodegib,Acetyldigitoxin,Vismodegib may decrease the cardiotoxic activities of Acetyldigitoxin.
Exemestane,Acetyldigitoxin,Exemestane may decrease the cardiotoxic activities of Acetyldigitoxin.
Methyltestosterone,Acetyldigitoxin,Methyltestosterone may decrease the cardiotoxic activities of Acetyldigitoxin.
Bexarotene,Acetyldigitoxin,Bexarotene may decrease the cardiotoxic activities of Acetyldigitoxin.
Venetoclax,Acetyldigitoxin,Venetoclax may decrease the cardiotoxic activities of Acetyldigitoxin.
Tamoxifen,Acetyldigitoxin,Tamoxifen may decrease the cardiotoxic activities of Acetyldigitoxin.
Cabozantinib,Acetyldigitoxin,Cabozantinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Romidepsin,Acetyldigitoxin,Romidepsin may decrease the cardiotoxic activities of Acetyldigitoxin.
Fulvestrant,Acetyldigitoxin,Fulvestrant may decrease the cardiotoxic activities of Acetyldigitoxin.
Erlotinib,Acetyldigitoxin,Erlotinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Hydroxyprogesterone caproate,Acetyldigitoxin,Hydroxyprogesterone caproate may decrease the cardiotoxic activities of Acetyldigitoxin.
Dabrafenib,Acetyldigitoxin,Dabrafenib may decrease the cardiotoxic activities of Acetyldigitoxin.
Mebendazole,Acetyldigitoxin,Mebendazole may decrease the cardiotoxic activities of Acetyldigitoxin.
Bicalutamide,Acetyldigitoxin,Bicalutamide may decrease the cardiotoxic activities of Acetyldigitoxin.
Ixabepilone,Acetyldigitoxin,Ixabepilone may decrease the cardiotoxic activities of Acetyldigitoxin.
Lomefloxacin,Acetyldigitoxin,Lomefloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Colchicine,Acetyldigitoxin,Colchicine may decrease the cardiotoxic activities of Acetyldigitoxin.
Quinethazone,Acetyldigitoxin,The risk or severity of adverse effects can be increased when Quinethazone is combined with Acetyldigitoxin.
Decitabine,Acetyldigitoxin,Decitabine may decrease the cardiotoxic activities of Acetyldigitoxin.
Carfilzomib,Acetyldigitoxin,Carfilzomib may decrease the cardiotoxic activities of Acetyldigitoxin.
Dexrazoxane,Acetyldigitoxin,Dexrazoxane may decrease the cardiotoxic activities of Acetyldigitoxin.
Vitamin A,Acetyldigitoxin,Vitamin A may decrease the cardiotoxic activities of Acetyldigitoxin.
Nedaplatin,Acetyldigitoxin,Nedaplatin may decrease the cardiotoxic activities of Acetyldigitoxin.
Vinflunine,Acetyldigitoxin,Vinflunine may decrease the cardiotoxic activities of Acetyldigitoxin.
Nalidixic acid,Acetyldigitoxin,Nalidixic acid may decrease the cardiotoxic activities of Acetyldigitoxin.
Belinostat,Acetyldigitoxin,Belinostat may decrease the cardiotoxic activities of Acetyldigitoxin.
Trametinib,Acetyldigitoxin,Trametinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Anastrozole,Acetyldigitoxin,Anastrozole may decrease the cardiotoxic activities of Acetyldigitoxin.
Raltitrexed,Acetyldigitoxin,Raltitrexed may decrease the cardiotoxic activities of Acetyldigitoxin.
Bosutinib,Acetyldigitoxin,Bosutinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Calcipotriol,Acetyldigitoxin,Calcipotriol may decrease the cardiotoxic activities of Acetyldigitoxin.
Cobimetinib,Acetyldigitoxin,Cobimetinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Besifloxacin,Acetyldigitoxin,Besifloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Tegafur,Acetyldigitoxin,Tegafur may decrease the cardiotoxic activities of Acetyldigitoxin.
Alitretinoin,Acetyldigitoxin,Alitretinoin may decrease the cardiotoxic activities of Acetyldigitoxin.
Pipobroman,Acetyldigitoxin,Pipobroman may decrease the cardiotoxic activities of Acetyldigitoxin.
Uracil mustard,Acetyldigitoxin,Uracil mustard may decrease the cardiotoxic activities of Acetyldigitoxin.
Alectinib,Acetyldigitoxin,Alectinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Testolactone,Acetyldigitoxin,Testolactone may decrease the cardiotoxic activities of Acetyldigitoxin.
Eflornithine,Acetyldigitoxin,Eflornithine may decrease the cardiotoxic activities of Acetyldigitoxin.
Trovafloxacin,Acetyldigitoxin,Trovafloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Radium Ra 223 dichloride,Acetyldigitoxin,Radium Ra 223 dichloride may decrease the cardiotoxic activities of Acetyldigitoxin.
Nintedanib,Acetyldigitoxin,Nintedanib may decrease the cardiotoxic activities of Acetyldigitoxin.
Methyl aminolevulinate,Acetyldigitoxin,Methyl aminolevulinate may decrease the cardiotoxic activities of Acetyldigitoxin.
Enoxacin,Acetyldigitoxin,Enoxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Pefloxacin,Acetyldigitoxin,Pefloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Azelaic acid,Acetyldigitoxin,Azelaic acid may decrease the cardiotoxic activities of Acetyldigitoxin.
Cinoxacin,Acetyldigitoxin,Cinoxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Phenylacetic acid,Acetyldigitoxin,Phenylacetic acid may decrease the cardiotoxic activities of Acetyldigitoxin.
Sparfloxacin,Acetyldigitoxin,Sparfloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Niraparib,Acetyldigitoxin,Niraparib may decrease the cardiotoxic activities of Acetyldigitoxin.
Vapreotide,Acetyldigitoxin,Vapreotide may decrease the cardiotoxic activities of Acetyldigitoxin.
Verteporfin,Acetyldigitoxin,Verteporfin may decrease the cardiotoxic activities of Acetyldigitoxin.
Trilostane,Acetyldigitoxin,Trilostane may decrease the cardiotoxic activities of Acetyldigitoxin.
Sonidegib,Acetyldigitoxin,Sonidegib may decrease the cardiotoxic activities of Acetyldigitoxin.
Cyproterone acetate,Acetyldigitoxin,Cyproterone acetate may decrease the cardiotoxic activities of Acetyldigitoxin.
Suramin,Acetyldigitoxin,Suramin may decrease the cardiotoxic activities of Acetyldigitoxin.
Iobenguane,Acetyldigitoxin,Iobenguane may decrease the cardiotoxic activities of Acetyldigitoxin.
Omacetaxine mepesuccinate,Acetyldigitoxin,Omacetaxine mepesuccinate may decrease the cardiotoxic activities of Acetyldigitoxin.
Aminoglutethimide,Acetyldigitoxin,Aminoglutethimide may decrease the cardiotoxic activities of Acetyldigitoxin.
Gatifloxacin,Acetyldigitoxin,Gatifloxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Mequinol,Acetyldigitoxin,Mequinol may decrease the cardiotoxic activities of Acetyldigitoxin.
Podophyllin,Acetyldigitoxin,Podophyllin may decrease the cardiotoxic activities of Acetyldigitoxin.
Megestrol acetate,Acetyldigitoxin,Megestrol acetate may decrease the cardiotoxic activities of Acetyldigitoxin.
Fleroxacin,Acetyldigitoxin,Fleroxacin may decrease the cardiotoxic activities of Acetyldigitoxin.
Phenylbutyric acid,Acetyldigitoxin,Phenylbutyric acid may decrease the cardiotoxic activities of Acetyldigitoxin.
Pixantrone,Acetyldigitoxin,Pixantrone may decrease the cardiotoxic activities of Acetyldigitoxin.
Trifluridine,Acetyldigitoxin,Trifluridine may decrease the cardiotoxic activities of Acetyldigitoxin.
Medrogestone,Acetyldigitoxin,Medrogestone may decrease the cardiotoxic activities of Acetyldigitoxin.
Lycopene,Acetyldigitoxin,Lycopene may decrease the cardiotoxic activities of Acetyldigitoxin.
Kaolin,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Kaolin.
Spironolactone,Acetyldigitoxin,The therapeutic efficacy of Acetyldigitoxin can be decreased when used in combination with Spironolactone.
Labetalol,Acetyldigitoxin,Labetalol may increase the bradycardic activities of Acetyldigitoxin.
Carvedilol,Acetyldigitoxin,Carvedilol may increase the bradycardic activities of Acetyldigitoxin.
Mesalazine,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Mesalazine.
Balsalazide,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Balsalazide.
Olsalazine,Acetyldigitoxin,The serum concentration of Acetyldigitoxin can be decreased when it is combined with Olsalazine.
Resveratrol,Acetyldigitoxin,Resveratrol may decrease the cardiotoxic activities of Acetyldigitoxin.
Bisoprolol,Acetyldigitoxin,Bisoprolol may increase the bradycardic activities of Acetyldigitoxin.
Penbutolol,Acetyldigitoxin,Penbutolol may increase the bradycardic activities of Acetyldigitoxin.
Nebivolol,Acetyldigitoxin,Nebivolol may increase the bradycardic activities of Acetyldigitoxin.
Acebutolol,Acetyldigitoxin,Acebutolol may increase the bradycardic activities of Acetyldigitoxin.
Carteolol,Acetyldigitoxin,Carteolol may increase the bradycardic activities of Acetyldigitoxin.
Vandetanib,Acetyldigitoxin,Vandetanib may decrease the cardiotoxic activities of Acetyldigitoxin.
Sotalol,Acetyldigitoxin,Sotalol may increase the bradycardic activities of Acetyldigitoxin.
Levobunolol,Acetyldigitoxin,Levobunolol may increase the bradycardic activities of Acetyldigitoxin.
Pindolol,Acetyldigitoxin,Pindolol may increase the bradycardic activities of Acetyldigitoxin.
Metipranolol,Acetyldigitoxin,Metipranolol may increase the bradycardic activities of Acetyldigitoxin.
Nadolol,Acetyldigitoxin,Nadolol may increase the bradycardic activities of Acetyldigitoxin.
Propranolol,Acetyldigitoxin,Propranolol may increase the bradycardic activities of Acetyldigitoxin.
Masoprocol,Acetyldigitoxin,Masoprocol may decrease the cardiotoxic activities of Acetyldigitoxin.
Sulindac,Acetyldigitoxin,Sulindac may decrease the cardiotoxic activities of Acetyldigitoxin.
Pirfenidone,Acetyldigitoxin,Pirfenidone may decrease the cardiotoxic activities of Acetyldigitoxin.
Mycophenolate mofetil,Acetyldigitoxin,Mycophenolate mofetil may decrease the cardiotoxic activities of Acetyldigitoxin.
Leflunomide,Acetyldigitoxin,Leflunomide may decrease the cardiotoxic activities of Acetyldigitoxin.
Mycophenolic acid,Acetyldigitoxin,Mycophenolic acid may decrease the cardiotoxic activities of Acetyldigitoxin.
Lenalidomide,Acetyldigitoxin,Lenalidomide may decrease the cardiotoxic activities of Acetyldigitoxin.
Ixazomib,Acetyldigitoxin,Ixazomib may decrease the cardiotoxic activities of Acetyldigitoxin.
Ecabet,Acetyldigitoxin,Ecabet may decrease the cardiotoxic activities of Acetyldigitoxin.
Afatinib,Acetyldigitoxin,Afatinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Diltiazem,Acetyldigitoxin,Diltiazem may increase the atrioventricular blocking (AV block) activities of Acetyldigitoxin.
Idelalisib,Acetyldigitoxin,Idelalisib may decrease the cardiotoxic activities of Acetyldigitoxin.
Verapamil,Acetyldigitoxin,Verapamil may increase the atrioventricular blocking (AV block) activities of Acetyldigitoxin.
Vemurafenib,Acetyldigitoxin,Vemurafenib may decrease the cardiotoxic activities of Acetyldigitoxin.
Ceritinib,Acetyldigitoxin,Ceritinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Dasatinib,Acetyldigitoxin,Dasatinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Palbociclib,Acetyldigitoxin,Palbociclib may decrease the cardiotoxic activities of Acetyldigitoxin.
Osimertinib,Acetyldigitoxin,Osimertinib may decrease the cardiotoxic activities of Acetyldigitoxin.
Aminolevulinic acid,Ouabain,Aminolevulinic acid may decrease the cardiotoxic activities of Ouabain.
Temoporfin,Ouabain,Temoporfin may decrease the cardiotoxic activities of Ouabain.
Cyclophosphamide,Ouabain,Cyclophosphamide may decrease the cardiotoxic activities of Ouabain.
Paclitaxel,Ouabain,Paclitaxel may decrease the cardiotoxic activities of Ouabain.
Docetaxel,Ouabain,Docetaxel may decrease the cardiotoxic activities of Ouabain.
Cabazitaxel,Ouabain,Cabazitaxel may decrease the cardiotoxic activities of Ouabain.
Sulpiride,Ouabain,The risk or severity of adverse effects can be increased when Sulpiride is combined with Ouabain.
Anagrelide,Ouabain,Anagrelide may decrease the cardiotoxic activities of Ouabain.
Carboplatin,Ouabain,Carboplatin may decrease the cardiotoxic activities of Ouabain.
Etacrynic acid,Ouabain,The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Ouabain.
Pirlindole,Ouabain,Pirlindole may decrease the cardiotoxic activities of Ouabain.
Procarbazine,Ouabain,Procarbazine may decrease the cardiotoxic activities of Ouabain.
Sunitinib,Ouabain,Sunitinib may decrease the cardiotoxic activities of Ouabain.
Lanreotide,Ouabain,Lanreotide may decrease the cardiotoxic activities of Ouabain.
Imatinib,Ouabain,Imatinib may decrease the cardiotoxic activities of Ouabain.
Crizotinib,Ouabain,Crizotinib may decrease the cardiotoxic activities of Ouabain.
Mitotane,Ouabain,Mitotane may decrease the cardiotoxic activities of Ouabain.
Dienogest,Ouabain,Dienogest may decrease the cardiotoxic activities of Ouabain.
Olaparib,Ouabain,Olaparib may decrease the cardiotoxic activities of Ouabain.
Rucaparib,Ouabain,Rucaparib may decrease the cardiotoxic activities of Ouabain.
Prednisolone,Ouabain,Prednisolone may decrease the cardiotoxic activities of Ouabain.
Midostaurin,Ouabain,Midostaurin may decrease the cardiotoxic activities of Ouabain.
Medroxyprogesterone acetate,Ouabain,Medroxyprogesterone acetate may decrease the cardiotoxic activities of Ouabain.
Bortezomib,Ouabain,Bortezomib may decrease the cardiotoxic activities of Ouabain.
Panobinostat,Ouabain,Panobinostat may decrease the cardiotoxic activities of Ouabain.
Betaxolol,Ouabain,Betaxolol may increase the bradycardic activities of Ouabain.
Enzalutamide,Ouabain,Enzalutamide may decrease the cardiotoxic activities of Ouabain.
Abiraterone,Ouabain,Abiraterone may decrease the cardiotoxic activities of Ouabain.
Diethylstilbestrol,Ouabain,Diethylstilbestrol may decrease the cardiotoxic activities of Ouabain.
Nilotinib,Ouabain,Nilotinib may decrease the cardiotoxic activities of Ouabain.
Dexamethasone,Ouabain,Dexamethasone may decrease the cardiotoxic activities of Ouabain.
Letrozole,Ouabain,Letrozole may decrease the cardiotoxic activities of Ouabain.
Norfloxacin,Ouabain,Norfloxacin may decrease the cardiotoxic activities of Ouabain.
Miltefosine,Ouabain,Miltefosine may decrease the cardiotoxic activities of Ouabain.
Trimetrexate,Ouabain,Trimetrexate may decrease the cardiotoxic activities of Ouabain.
Amphotericin B,Ouabain,The risk or severity of adverse effects can be increased when Amphotericin B is combined with Ouabain.
Sirolimus,Ouabain,Sirolimus may decrease the cardiotoxic activities of Ouabain.
Alprenolol,Ouabain,Alprenolol may increase the bradycardic activities of Ouabain.
Timolol,Ouabain,Timolol may increase the bradycardic activities of Ouabain.
Atenolol,Ouabain,Atenolol may increase the bradycardic activities of Ouabain.
Bupranolol,Ouabain,Bupranolol may increase the bradycardic activities of Ouabain.
Celiprolol,Ouabain,Celiprolol may increase the bradycardic activities of Ouabain.
Oxprenolol,Ouabain,Oxprenolol may increase the bradycardic activities of Ouabain.
Metoprolol,Ouabain,Metoprolol may increase the bradycardic activities of Ouabain.
Bopindolol,Ouabain,Bopindolol may increase the bradycardic activities of Ouabain.
Esmolol,Ouabain,Esmolol may increase the bradycardic activities of Ouabain.
Pentostatin,Ouabain,Pentostatin may decrease the cardiotoxic activities of Ouabain.
Reserpine,Ouabain,The risk or severity of adverse effects can be increased when Reserpine is combined with Ouabain.
Thalidomide,Ouabain,Thalidomide may decrease the cardiotoxic activities of Ouabain.
Clonidine,Ouabain,Clonidine may increase the atrioventricular blocking (AV block) activities of Ouabain.
Pomalidomide,Ouabain,Pomalidomide may decrease the cardiotoxic activities of Ouabain.
Furosemide,Ouabain,The risk or severity of adverse effects can be increased when Furosemide is combined with Ouabain.
